"ID","Religião","Entidade / Orixá","Nome do Ponto","Letra","Link YouTube","Áudio","Observações"
"PNT-B84BA9","Candomblé / Ketu","Oxóssi","Arolè O Inaio Ke O Ajô","Arolè o inaio ke o ajô
Arolè o inaio
Odé inaió
Arolè o inaio ke o ajô","https://www.youtube.com/watch?v=lIitJWJJdn0","","Pedido de luz ao rei das matas. Toque aguerê. Ketu."
"PNT-96E08B","Candomblé / Ketu","Oxóssi","Farere Fibi Odé Fibô","Farere fibi odé fibô
Farere fibi
Odé fibô
Farere fibi odé fibô","https://www.youtube.com/watch?v=R_bSALywiZk","","Louvor ao caçador da mata. Toque aguerê. Ketu."
"PNT-64A9A8","Candomblé / Ketu","Ossain","Ewé Ó, Ossã, Ewé Ó","Ewé ó, Ossã, ewé ó
Ewé ó, ewé
Ossã ewé ó
Ewé ó, Ossã, ewé ó","https://www.youtube.com/watch?v=QKP9OKFO9sA","","Saudação às folhas e à natureza. Ketu."
"PNT-02725C","Candomblé / Ketu","Ossain","Abebe Ni Bo Wa, Peregun","Abebe ni bo wa
Peregun alaso titun
Abebe ni bo wa
Ossain ewé ó","https://www.youtube.com/watch?v=MuRjEAFetNE","","Louvor às folhas sagradas. Ketu."
"PNT-9DFFA3","Candomblé / Ketu","Xangô","Ikitê Re O Lokê Odô","Ikitê re o lokê odô
Kabiyesi oba
Ikitê re o lokê odô
Kaô kabiesilê","https://www.youtube.com/watch?v=6K8cjDHOI7w","","Louvor ao rei de Kossô. Toque alujá. Ketu."
"PNT-203E32","Candomblé / Ketu","Xangô","Oba Sá Rewa","Oba sá rewa
Kabiyesi oba
Oba sá rewa
Kaô kabiesilê","https://www.youtube.com/watch?v=i0c13eljjjk","","Louvor ao rei belo e justiceiro. Toque alujá. Ketu."
"PNT-4F3C15","Candomblé / Ketu","Iansã","Ajé Mito Ti Oyá","Ajé mito ti Oyá
Oyá re wa o
Ajé mito ti Oyá
Eparrei Oyá","https://www.youtube.com/watch?v=PxpXMV8fKV4","","Louvor à senhora dos ventos. Ketu."
"PNT-282383","Candomblé / Ketu","Iansã","Oyá Koro Un Le, O Guerê Gue","Oyá koro un le
O guerê gue
Oyá koro un le
Eparrei Oyá","https://www.youtube.com/watch?v=K1y8Ak_89D8","","Louvor à guerreira dos ventos. Ketu."
"PNT-FE96B0","Candomblé / Ketu","Oxum","Adé Kojú Iyá, Meiwura","Adé kojú iyá
Meiwura
Adé kojú iyá
Ora iê iê ô","https://www.youtube.com/watch?v=-yWCImyT_ic","","Louvor à Orixá da beleza, do ouro e do espelho. Ketu."
"PNT-BEA5AF","Candomblé / Ketu","Oxum","Yá Badé Lodô, Oxum Ma Yeyeô","Yá badé lodô
Oxum ma yeyeô
Yá badé lodô
Ora iê iê ô","https://www.youtube.com/watch?v=bqjTQHmcvFs","","Saudação à Orixá das águas doces e do amor. Ketu."
"PNT-23F4A2","Candomblé / Ketu","Nanã","Ibi Nàná Iyô, Olú Obó","Ibi nàná iyô
Olú obó
Ibi nàná iyô
Salúbà Nanã","https://www.youtube.com/watch?v=drQ_jzGm3c8","","Louvor à matriarca dos Orixás. Ketu."
"PNT-FB54C4","Candomblé / Ketu","Obaluaê / Omolu","Ejì Bará Loko Panzuê","Ejì bará loko panzuê
Atotô Obaluaiê
Ejì bará loko panzuê
Atotô babá","https://www.youtube.com/watch?v=OmjQ3pQubBI","","Louvor ao senhor da terra e da cura. Ketu."
"PNT-89FB06","Candomblé / Ketu","Oxumaré","A Mara Ká Moborum","A mara ká moborum
Oxumarê
A mara ká moborum
Arrôbô Oxumarê","https://www.youtube.com/watch?v=kDXrK0uv4rk","","Louvor à serpente do arco-íris. Ketu."
"PNT-2BD0E8","Candomblé / Ketu","Oxumaré","Oxumarê Lele Mare","Oxumarê lele mare
Arrôbô
Oxumarê lele mare
Arrôbô Oxumarê","https://www.youtube.com/watch?v=QXT-zILeSy0","","Louvor ao Orixá do arco-íris e da serpente. Ketu."
"PNT-F4B59E","Candomblé / Ketu","Oxalá","Oni Saurê, Aul Axé","Oni saurê
Aul axé
Oni saurê
Êpa Babá","https://www.youtube.com/watch?v=LF6RxpLIbxA","","Louvor ao pai de todos os Orixás. Toque ijexá. Ketu."
"PNT-D1154E","Candomblé / Ketu","Oxalá","Ofurufú é Aláyê, Ajalá","Ofurufú é aláyê
Ajalá babá
Ofurufú é aláyê
Êpa Babá","https://www.youtube.com/watch?v=ly2Kx-GFAw4","","Louvor ao senhor do firmamento. Toque ijexá. Ketu."
"PNT-41C23D","Candomblé / Ketu","Ewá","Ewá Ewá Majô","Ewá ewá majô
Ewá ewá
Majô ewá
Ewá ewá majô","https://www.youtube.com/watch?v=w_nTSrU4WMM","","Louvor à Orixá da beleza, do mistério e das fontes. Ketu."
"PNT-D75D8B","Candomblé / Ketu","Logun Edé","Kerê Kerê Odé Ô","Kerê kerê odé ô
Logun edé
Kerê kerê odé ô
Odé inaió","https://www.youtube.com/watch?v=udIGGNcrT6g","","Louvor ao príncipe caçador das águas. Ketu."
